Year,Rank,University Name, Score,Link,Country,City,Logo
2017, 400, leibniz university hannover, 30 ,https://www.topuniversities.com/universities/leibniz-university-hannover, Germany, Germany, Europe
2017, 102, leiden university, 63 ,https://www.topuniversities.com/universities/leiden-university, Netherlands, Netherlands, Europe
2017, 343, lincoln university , 34 ,https://www.topuniversities.com/universities/lincoln-university, New Zealand, New Zealand, Oceania
2017, 282, linköping university, 38 ,https://www.topuniversities.com/universities/linkoping-university, Sweden, Sweden, Europe
2017, 108, lomonosov moscow state university, 62 ,https://www.topuniversities.com/universities/lomonosov-moscow-state-university, Russia, Russia, Europe
2017, 237, loughborough university, 42 ,https://www.topuniversities.com/universities/loughborough-university, United Kingdom, United Kingdom, Europe
2017, 68, ludwig-maximilians-universität münchen, 70 ,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen, Germany, Germany, Europe
2017, 73, lund university, 69 ,https://www.topuniversities.com/universities/lund-university, Sweden, Sweden, Europe
2017, 173, maastricht university , 50 ,https://www.topuniversities.com/universities/maastricht-university, Netherlands, Netherlands, Europe
2017, 247, macquarie university, 41 ,https://www.topuniversities.com/universities/macquarie-university, Australia, Australia, Oceania
2017, 283, mahidol university, 38 ,https://www.topuniversities.com/universities/mahidol-university, Thailand, Thailand, Asia
2017, 1, massachusetts institute of technology (mit) , 100 ,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit, United States, United States, North America
