Year,Rank,University Name, Score,Link,Country,City,Logo
2017, 175, university of reading, 50 ,https://www.topuniversities.com/universities/university-reading, United Kingdom, United Kingdom, Europe
2017, 185, university of rochester, 49 ,https://www.topuniversities.com/universities/university-rochester, United States, United States, North America
2017, 104, university of science and technology of china, 62 ,https://www.topuniversities.com/universities/university-science-technology-china, China (Mainland), China (Mainland), Asia
2017, 288, university of south australia, 37 ,https://www.topuniversities.com/universities/university-south-australia, Australia, Australia, Oceania
2017, 87, university of southampton, 66 ,https://www.topuniversities.com/universities/university-southampton, United Kingdom, United Kingdom, Europe
2017, 136, university of southern california, 57 ,https://www.topuniversities.com/universities/university-southern-california, United States, United States, North America
2017, 390, university of southern denmark (sdu), 31 ,https://www.topuniversities.com/universities/university-southern-denmark-sdu, Denmark, Denmark, Europe
2017, 77, university of st andrews, 68 ,https://www.topuniversities.com/universities/university-st-andrews, United Kingdom, United Kingdom, Europe
2017, 288, university of st.gallen (hsg), 37 ,https://www.topuniversities.com/universities/university-stgallen-hsg, Switzerland, Switzerland, Europe
2017, 385, university of stirling, 31 ,https://www.topuniversities.com/universities/university-stirling, United Kingdom, United Kingdom, Europe
2017, 272, university of strathclyde, 39 ,https://www.topuniversities.com/universities/university-strathclyde, United Kingdom, United Kingdom, Europe
2017, 261, university of surrey, 40 ,https://www.topuniversities.com/universities/university-surrey, United Kingdom, United Kingdom, Europe
2017, 187, university of sussex, 48 ,https://www.topuniversities.com/universities/university-sussex, United Kingdom, United Kingdom, Europe
2017, 347, university of tartu, 34 ,https://www.topuniversities.com/universities/university-tartu, Estonia, Estonia, Europe
2017, 370, university of tasmania, 32 ,https://www.topuniversities.com/universities/university-tasmania, Australia, Australia, Oceania
2017, 193, university of technology sydney, 48 ,https://www.topuniversities.com/universities/university-technology-sydney, Australia, Australia, Oceania
2017, 67, university of texas at austin, 71 ,https://www.topuniversities.com/universities/university-texas-austin, United States, United States, North America
2017, 380, university of texas dallas, 31 ,https://www.topuniversities.com/universities/university-texas-dallas, United States, United States, North America
2017, 374, university of the philippines, 32 ,https://www.topuniversities.com/universities/university-philippines, Philippines, Philippines, Asia
2017, 32, university of toronto, 84 ,https://www.topuniversities.com/universities/university-toronto, Canada, Canada, North America
2017, 377, university of tromsø the arctic university of norway, 31 ,https://www.topuniversities.com/universities/university-tromso-arctic-university-norway, Norway, Norway, Europe
2017, 225, university of tsukuba, 44 ,https://www.topuniversities.com/universities/university-tsukuba, Japan, Japan, Asia
2017, 234, university of turku, 43 ,https://www.topuniversities.com/universities/university-turku, Finland, Finland, Europe
2017, 177, university of twente, 50 ,https://www.topuniversities.com/universities/university-twente, Netherlands, Netherlands, Europe
2017, 325, university of victoria (uvic), 35 ,https://www.topuniversities.com/universities/university-victoria-uvic, Canada, Canada, North America
2017, 155, university of vienna, 53 ,https://www.topuniversities.com/universities/university-vienna, Austria, Austria, Europe
2017, 172, university of virginia, 51 ,https://www.topuniversities.com/universities/university-virginia, United States, United States, North America
2017, 324, university of waikato, 35 ,https://www.topuniversities.com/universities/university-waikato, New Zealand, New Zealand, Oceania
2017, 366, university of warsaw , 32 ,https://www.topuniversities.com/universities/university-warsaw, Poland, Poland, Europe
2017, 59, university of washington, 74 ,https://www.topuniversities.com/universities/university-washington, United States, United States, North America
2017, 152, university of waterloo, 54 ,https://www.topuniversities.com/universities/university-waterloo, Canada, Canada, North America
2017, 53, university of wisconsin-madison, 76 ,https://www.topuniversities.com/universities/university-wisconsin-madison, United States, United States, North America
2017, 359, university of witwatersrand, 33 ,https://www.topuniversities.com/universities/university-witwatersrand, South Africa, South Africa, Africa
2017, 218, university of wollongong, 45 ,https://www.topuniversities.com/universities/university-wollongong, Australia, Australia, Oceania
2017, 127, university of york, 58 ,https://www.topuniversities.com/universities/university-york, United Kingdom, United Kingdom, Europe
2017, 80, university of zurich, 68 ,https://www.topuniversities.com/universities/university-zurich, Switzerland, Switzerland, Europe
2017, 347, university ulm, 34 ,https://www.topuniversities.com/universities/university-ulm, Germany, Germany, Europe
